ptMin,ptMax,tag,run,nDATA,nDATATag,nMCb,nMCbTag,nMCc,nMCcTag,nMCl,nMClTag,pb,pbTag,frb,frbTag,frc,frcTag,frl,frlTag,chi2,chi2Tag,effMC,effData,SF,effMCErr,effDataErr,SFErr,pbErr,pbTagErr,pc,pcErr,pcTag,pcTagErr,pl,plErr,plTag,plTagErr,ndof,ndofTag,p4,p4Err,p4Tag,p4ErrTag,p5,p5Err,p5Tag,p5ErrTag,nMC4,nMC4Tag,nMC5,nMC5Tag
200,350,DoubleBM2,0,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1829.627930,1656.040039,0.629599,0.769656,0.035188,0.020102,0.336116,0.199762,0.686788,1.042289,0.714659,0.646855,0.905124,0.008756,0.042669,0.060727,67.325905,90.662064,1966.773071,122.539299,2781.169922,471.405273,1966.773071,122.539299,2781.169922,471.405273,12,15,0.017113,2464.467529,2781.169922,471.405273,0.017113,2464.467529,2781.169922,471.405273,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,1,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1831.866577,1655.938354,0.630370,0.769608,0.035086,0.020144,0.335139,0.200174,0.665675,0.994390,0.714659,0.646025,0.903962,0.008756,0.042646,0.060692,66.970390,91.018753,1961.057129,122.996544,2786.897705,474.135254,1961.057129,122.996544,2786.897705,474.135254,12,15,0.017212,18930.535156,2786.897705,474.135254,0.017212,18930.535156,2786.897705,474.135254,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,2,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1835.911255,1663.228027,0.631761,0.772996,0.034366,0.019866,0.328266,0.197420,0.568617,0.884149,0.714659,0.647439,0.905941,0.008756,0.042972,0.061145,71.065201,89.674591,1920.837646,177.447174,2748.556641,469.421234,1920.837646,177.447174,2748.556641,469.421234,12,15,119.622078,364.873077,2748.556641,469.421234,119.622078,364.873077,2748.556641,469.421234,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,3,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1829.721313,1656.134888,0.629631,0.769700,0.035185,0.020099,0.336084,0.199728,0.686844,1.041961,0.714659,0.646859,0.905129,0.008756,0.041526,0.059156,67.625069,86.931793,1966.587646,123.000130,2780.694336,241.545090,1966.587646,123.000130,2780.694336,241.545090,12,15,0.017096,3189.494385,2780.694336,241.545090,0.017096,3189.494385,2780.694336,241.545090,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,4,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1827.177002,1664.849854,0.628756,0.773750,0.034932,0.019722,0.333670,0.195990,0.685446,1.079836,0.714659,0.651168,0.911159,0.008756,0.039517,0.056410,76.709206,72.954597,1952.460938,228.328461,2728.646729,285.440002,1952.460938,228.328461,2728.646729,285.440002,12,15,60.398853,1010.131287,2728.646729,285.440002,60.398853,1010.131287,2728.646729,285.440002,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,5,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1841.875854,1668.730469,0.633814,0.775554,0.034787,0.019567,0.332287,0.194449,0.673582,1.064132,0.714659,0.647477,0.905995,0.008756,0.037173,0.053186,67.917076,73.432526,1944.369629,123.562042,2707.196289,288.548553,1944.369629,123.562042,2707.196289,288.548553,12,15,0.017096,2942.744385,2707.196289,288.548553,0.017096,2942.744385,2707.196289,288.548553,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,6,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1829.721313,1656.134888,0.629631,0.769700,0.035185,0.020099,0.336084,0.199728,0.686844,1.041961,0.714659,0.646859,0.905129,0.008756,0.041526,0.059156,67.625084,86.931793,1966.587646,123.000031,2780.694336,241.545090,1966.587646,123.000031,2780.694336,241.545090,12,15,0.017096,3188.374023,2780.694336,241.545090,0.017096,3188.374023,2780.694336,241.545090,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,7,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1800.935913,1635.430664,0.619726,0.760077,0.035337,0.020874,0.337537,0.207430,0.707499,1.135861,0.714659,0.648982,0.908100,0.008756,0.043451,0.061810,76.521423,84.621376,1975.091187,228.124069,2887.923584,246.013260,1975.091187,228.124069,2887.923584,246.013260,12,15,153.362595,517.392761,2887.923584,246.013260,153.362595,517.392761,2887.923584,246.013260,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,-1,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1824.889404,1652.188599,0.627969,0.767866,0.035362,0.020287,0.337775,0.201600,0.653508,0.979076,0.714659,0.647026,0.905364,0.008756,0.042676,0.060737,67.343361,90.322334,1976.478882,122.917625,2806.755127,470.617310,1976.478882,122.917625,2806.755127,470.617310,12,15,0.017096,1947.734131,2806.755127,470.617310,0.017096,1947.734131,2806.755127,470.617310,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,-2,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1829.628174,1656.040039,0.629599,0.769656,0.035188,0.020102,0.336117,0.199762,0.686788,1.042289,0.714659,0.646855,0.905124,0.008756,0.042760,0.060852,67.621353,90.763351,1966.778564,122.994194,2781.169922,472.791840,1966.778564,122.994194,2781.169922,472.791840,12,15,0.017096,3177.827148,2781.169922,472.791840,0.017096,3177.827148,2781.169922,472.791840,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,-3,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1829.719604,1656.136963,0.629631,0.769701,0.035185,0.020099,0.336084,0.199727,0.686827,1.041950,0.714659,0.646860,0.905132,0.008756,0.042764,0.060858,67.625275,90.780388,1966.589478,123.000824,2780.683105,472.898071,1966.589478,123.000824,2780.683105,472.898071,12,15,0.017096,3191.318115,2780.683105,472.898071,0.017096,3191.318115,2780.683105,472.898071,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,-4,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1829.628174,1656.040039,0.629599,0.769656,0.035188,0.020102,0.336117,0.199762,0.686788,1.042289,0.714659,0.646855,0.905124,0.008756,0.042760,0.060852,67.621353,90.763351,1966.778564,122.994194,2781.169922,472.791840,1966.778564,122.994194,2781.169922,472.791840,12,15,0.017096,3177.827148,2781.169922,472.791840,0.017096,3177.827148,2781.169922,472.791840,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,-5,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1829.628174,1656.040039,0.629599,0.769656,0.035188,0.020102,0.336117,0.199762,0.686788,1.042289,0.714659,0.646855,0.905124,0.008756,0.042760,0.060852,67.621353,90.763351,1966.778564,122.994194,2781.169922,472.791840,1966.778564,122.994194,2781.169922,472.791840,12,15,0.017096,3177.827148,2781.169922,472.791840,0.017096,3177.827148,2781.169922,472.791840,0.463190,0.045503,0.775712,0.007764
